,vahed,esm,tolid,foroosh,nerkh_foroosh,mablagh_forosh,Year,Month,Day,nemad
4,تن,دوده صنعتي,2715,2519,265543867,668905,1400,08,30,شکربن
4,تن,دوده صنعتي,3855,2083,265818531,553700,1400,09,30,شکربن
4,تن,دوده صنعتي,3827,2407,266747819,642062,1400,10,30,شکربن
4,تن,دوده صنعتي,2999,1877,278530101,522801,1400,11,30,شکربن
4,تن,دوده صنعتي,3403,2743,302300401,829210,1400,12,29,شکربن
4,تن,دوده صنعتي,3890,2593,352693791,914535,1401,01,31,شکربن
4,تن,دوده صنعتي,3877,2669,371887598,992568,1401,02,31,شکربن
4,تن,دوده صنعتي,3354,2767,421609686,1166594,1401,03,31,شکربن
4,تن,دوده صنعتي,3897,3203,441320637,1413550,1401,04,31,شکربن
4,تن,دوده صنعتي,2874,3075,445465691,1369807,1401,05,31,شکربن
4,تن,دوده صنعتي,4121,2016,425603175,858016,1401,06,31,شکربن
6,تن,دوده صنعتي,3934,2671,383269562,1023713,1401,07,30,شکربن
6,تن,دوده صنعتي,3832,2586,372705723,963817,1401,08,30,شکربن
6,تن,دوده صنعتي,3285,3173,355336590,1127483,1401,09,30,شکربن
6,تن,دوده صنعتي,3331,2267,354346273,803303,1401,10,30,شکربن
6,تن,دوده صنعتي,3391,3319,360254293,1195684,1401,11,30,شکربن
6,تن,دوده صنعتي,3120,4638,363151574,1684297,1401,12,29,شکربن
6,تن,دوده صنعتي ,4202,3778,382002382,1443205,1402,01,31,شکربن
6,تن,دوده صنعتي ,4424,3717,418267689,1554701,1402,02,31,شکربن
6,تن,دوده صنعتي ,4217,5156,430262413,2218433,1402,03,31,شکربن
6,تن,دوده صنعتي ,4515,4038,442349430,1786207,1402,04,31,شکربن
6,تن,دوده صنعتي ,4219,3387,472389135,1599982,1402,05,31,شکربن
18,تن,نرمال پارافين مازاد (داخلي),7182,6395,177853636,1137374,1399,10,30,شیران
17,تن,الکيلات سنگين (داخلي),467,180,173966667,31314,1399,10,30,شیران
16,تن,الکيل بنزن خطي (داخلي),9836,7205,304377099,2193037,1399,10,30,شیران
6,تن,نرمال پارافين مازاد (داخلي),8162,5216,160337615,836321,1399,11,30,شیران
5,تن,الکيلات سنگين (داخلي),484,97,161824742,15697,1399,11,30,شیران
7,تن,برشهاي استحصالي از هيدروکربورهاي تهيه شده از سايرمنابع (داخلي),0,100,95390000,9539,1399,11,30,شیران
4,تن,الکيل بنزن خطي (داخلي),9106,4896,275402778,1348372,1399,11,30,شیران
6,تن,نرمال پارافين مازاد (داخلي),7084,3347,174805497,585074,1399,12,30,شیران
7,تن,برشهاي استحصالي از هيدروکربورهاي تهيه شده از سايرمنابع (داخلي),0,0,0,0,1399,12,30,شیران
5,تن,الکيلات سنگين (داخلي),447,314,173958599,54623,1399,12,30,شیران
4,تن,الکيل بنزن خطي (داخلي),9684,5276,293458302,1548286,1399,12,30,شیران
5,تن,الکيلات سنگين (داخلي),455,222,178306306,39584,1400,01,31,شیران
7,تن,برشهاي استحصالي از هيدروکربورهاي تهيه شده از سايرمنابع (داخلي),0,0,0,0,1400,01,31,شیران
6,تن,نرمال پارافين مازاد (داخلي),7927,4185,169831541,710745,1400,01,31,شیران
4,تن,الکيل بنزن خطي (داخلي),9815,4286,293029165,1255923,1400,01,31,شیران
6,تن,نرمال پارافين مازاد (داخلي),7689,7434,198654291,1476796,1400,02,31,شیران
7,تن,برشهاي استحصالي از هيدروکربورهاي تهيه شده از سايرمنابع (داخلي),0,0,0,0,1400,02,31,شیران
5,تن,الکيلات سنگين (داخلي),568,264,194291667,51293,1400,02,31,شیران
4,تن,الکيل بنزن خطي (داخلي),9661,5917,328901977,1946113,1400,02,31,شیران
5,تن,الکيلات سنگين (داخلي),498,0,0,0,1400,03,31,شیران
7,تن,برشهاي استحصالي از هيدروکربورهاي تهيه شده از سايرمنابع (داخلي),0,0,0,0,1400,03,31,شیران
6,تن,نرمال پارافين مازاد (داخلي),7396,6976,195774799,1365725,1400,03,31,شیران
4,تن,الکيل بنزن خطي (داخلي),10354,6462,335489322,2167932,1400,03,31,شیران
5,تن,الکيلات سنگين (داخلي),445,97,216505155,21001,1400,04,31,شیران
6,تن,نرمال پارافين مازاد (داخلي),7578,4775,217479581,1038465,1400,04,31,شیران
4,تن,الکيل بنزن خطي (داخلي),9962,5693,381769717,2173415,1400,04,31,شیران
5,تن,الکيلات سنگين (داخلي),593,100,224310000,22431,1400,05,31,شیران
6,تن,نرمال پارافين مازاد (داخلي),7126,1846,230806609,426069,1400,05,31,شیران
4,تن,الکيل بنزن خطي (داخلي),9705,3761,402055304,1512130,1400,05,31,شیران
5,تن,الکيلات سنگين (داخلي),490,130,228361538,29687,1400,06,31,شیران
6,تن,نرمال پارافين مازاد (داخلي),7010,5855,233012126,1364286,1400,06,31,شیران
4,تن,الکيل بنزن خطي (داخلي),10359,5350,400397196,2142125,1400,06,31,شیران
5,تن,الکيلات سنگين (داخلي),443,264,229401515,60562,1400,07,30,شیران
6,تن,نرمال پارافين مازاد (داخلي),7245,2228,236131059,526100,1400,07,30,شیران
7,تن,برشهاي استحصالي از هيدروکربورهاي تهيه شده از سايرمنابع (داخلي),0,0,0,0,1400,07,30,شیران
4,تن,الکيل بنزن خطي (داخلي),9487,6163,401041376,2471618,1400,07,30,شیران
5,تن,الکيلات سنگين (داخلي),549,89,199674157,17771,1400,08,30,شیران
6,تن,نرمال پارافين مازاد (داخلي),4793,2374,197946504,469925,1400,08,30,شیران
4,تن,الکيل بنزن خطي (داخلي),9367,5720,370993531,2122083,1400,08,30,شیران
5,تن,الکيلات سنگين (داخلي),412,354,215929379,76439,1400,09,30,شیران
6,تن,نرمال پارافين مازاد (داخلي),6920,5184,213570795,1107151,1400,09,30,شیران
4,تن,الکيل بنزن خطي (داخلي),9957,6101,349877561,2134603,1400,09,30,شیران
6,تن,نرمال پارافين مازاد (داخلي),6859,3398,200264862,680500,1400,10,30,شیران
5,تن,الکيلات سنگين (داخلي),428,146,221253425,32303,1400,10,30,شیران
4,تن,الکيل بنزن خطي (داخلي),9743,5045,343774628,1734343,1400,10,30,شیران
5,تن,الکيلات سنگين (داخلي),479,85,407494118,34637,1400,11,30,شیران
6,تن,نرمال پارافين مازاد (داخلي),7334,6320,192323892,1215487,1400,11,30,شیران
4,تن,الکيل بنزن خطي (داخلي),9225,3575,324596923,1160434,1400,11,30,شیران
4,تن,الکيل بنزن خطي (داخلي),9605,5180,331625676,1717821,1400,12,29,شیران
5,تن,الکيلات سنگين (داخلي),442,354,172115819,60929,1400,12,29,شیران
6,تن,نرمال پارافين مازاد (داخلي),6671,3172,245470996,778634,1400,12,29,شیران
5,تن,الکيلات سنگين (داخلي),455,10,280000000,2800,1401,01,31,شیران
6,تن,نرمال پارافين مازاد (داخلي),7455,290,300000000,87000,1401,01,31,شیران
4,تن,الکيل بنزن خطي (داخلي),9988,4125,411477333,1697344,1401,01,31,شیران
5,تن,الکيلات سنگين (داخلي),562,48,280000000,13440,1401,02,31,شیران
6,تن,نرمال پارافين مازاد (داخلي),7590,5290,270699433,1432000,1401,02,31,شیران
4,تن,الکيل بنزن خطي (داخلي),9707,4850,444512165,2155884,1401,02,31,شیران
5,تن,الکيلات سنگين (داخلي),502,45,257266667,11577,1401,03,31,شیران
7,تن,برشهاي استحصالي از هيدروکربورهاي تهيه شده از سايرمنابع,0,0,0,0,1401,03,31,شیران
6,تن,نرمال پارافين مازاد (داخلي),7214,3963,281081504,1113926,1401,03,31,شیران
4,تن,الکيل بنزن خطي (داخلي),10091,6596,429118860,2830468,1401,03,31,شیران
5,تن,الکيلات سنگين (داخلي),480,9,203666667,1833,1401,04,31,شیران
6,تن,نرمال پارافين مازاد (داخلي),7221,808,291913366,235866,1401,04,31,شیران
4,تن,الکيل بنزن خطي (داخلي),10000,5666,444847158,2520504,1401,04,31,شیران
5,تن,الکيلات سنگين (داخلي),573,171,340771930,58272,1401,05,31,شیران
6,تن,نرمال پارافين مازاد (داخلي),8005,3343,320339216,1070894,1401,05,31,شیران
4,تن,الکيل بنزن خطي (داخلي),9872,5712,461401436,2635525,1401,05,31,شیران
5,تن,الکيلات سنگين (داخلي),582,70,273442857,19141,1401,06,31,شیران
6,تن,نرمال پارافين مازاد (داخلي),5446,5295,318435883,1686118,1401,06,31,شیران
4,تن,الکيل بنزن خطي (داخلي),10104,6173,447402398,2761815,1401,06,31,شیران
9,تن,الکيل بنزن خطي (داخلي),9754,7950,415600000,3304020,1401,07,30,شیران
10,تن,الکيلات سنگين (داخلي),512,15,300066667,4501,1401,07,30,شیران
11,تن,نرمال پارافين مازاد (داخلي),6339,3189,311777987,994260,1401,07,30,شیران
9,تن,الکيلات سنگين (داخلي),548,344,344697674,118576,1401,08,30,شیران
10,تن,نرمال پارافين مازاد (داخلي),6519,3058,313952910,960068,1401,08,30,شیران
8,تن,الکيل بنزن خطي (داخلي),9336,6808,432185223,2942317,1401,08,30,شیران
9,تن,الکيلات سنگين (داخلي),566,305,336393443,102600,1401,09,30,شیران
8,تن,الکيل بنزن خطي (داخلي),9666,8997,417706902,3758109,1401,09,30,شیران
10,تن,نرمال پارافين مازاد (داخلي),6497,6460,348185913,2249281,1401,09,30,شیران
11,تن,برشهاي استحصالي از هيدروکربورهاي تهيه شده از سايرمنابع,0,220,216045455,47530,1401,10,30,شیران
10,تن ,نرمال پارافين مازاد (داخلي),6417,1808,323684181,585221,1401,10,30,شیران
9,تن,الکيلات سنگين (داخلي),476,102,299764706,30576,1401,10,30,شیران
8,تن,الکيل بنزن خطي (داخلي),9950,5168,416084752,2150326,1401,10,30,شیران
9,تن,الکيلات سنگين (داخلي),546,179,300083799,53715,1401,11,30,شیران
10,تن ,نرمال پارافين مازاد (داخلي),7033,290,340693103,98801,1401,11,30,شیران
8,تن,الکيل بنزن خطي (داخلي),9516,6117,404838810,2476399,1401,11,30,شیران
8,تن,الکيل بنزن خطي (داخلي),9115,6768,422358452,2858522,1401,12,29,شیران
9,تن,الکيلات سنگين (داخلي),425,541,322650647,174554,1401,12,29,شیران
10,تن ,نرمال پارافين مازاد (داخلي),7225,525,339670476,178327,1401,12,29,شیران
9,تن,الکيلات سنگين (داخلي),583,52,301153846,15660,1402,01,31,شیران
10,تن ,نرمال پارافين مازاد (داخلي),7674,161,341242236,54940,1402,01,31,شیران
8,تن,الکيل بنزن خطي (داخلي),9586,4468,433631826,1937467,1402,01,31,شیران
9,تن,الکيلات سنگين (داخلي),583,291,300010309,87303,1402,02,31,شیران
10,تن ,نرمال پارافين مازاد (داخلي),7599,5228,339970161,1777364,1402,02,31,شیران
8,تن,الکيل بنزن خطي (داخلي),9986,7863,408454534,3211678,1402,02,31,شیران
8,تن,الکيل بنزن خطي (داخلي),10606,6739,398140525,2683069,1402,03,31,شیران
9,تن,الکيلات سنگين (داخلي),423,554,317662455,175985,1402,03,31,شیران
10,تن,نرمال پارافين مازاد (داخلي),6527,492,334225610,164439,1402,03,31,شیران
9,تن,الکيلات سنگين (داخلي),575,438,302093607,132317,1402,04,31,شیران
10,تن,نرمال پارافين مازاد (داخلي),5968,5174,321382103,1662831,1402,04,31,شیران
8,تن,الکيل بنزن خطي (داخلي),9717,8300,389642892,3234036,1402,04,31,شیران
10,تن,نرمال پارافين مازاد (داخلي),4672,351,349339031,122618,1402,05,31,شیران
9,تن,الکيلات سنگين (داخلي),575,270,329522222,88971,1402,05,31,شیران
8,تن,الکيل بنزن خطي (داخلي),9957,8447,372920800,3150062,1402,05,31,شیران
11,تن,برشهاي استحصالي از هيدروکربورهاي تهيه شده از سايرمنابع,5168,0,0,0,1402,05,31,شیران
4,تن,سنگ منگنز دانه بندي,4800,5000,12175000,60875,1399,01,31,کمنگنز
6,تن,محصولات بازرگاني(فرو سيليکو منگنز),100,100,169360000,16936,1399,02,31,کمنگنز
5,تن,خاک سرخ,239,239,1799163,430,1399,02,31,کمنگنز
4,تن,سنگ منگنز دانه بندي,8050,7975,13274734,105866,1399,02,31,کمنگنز
6,تن,محصولات بازرگاني(فرو سيليکو منگنز),0,0,0,0,1399,03,31,کمنگنز
5,تن,خاک سرخ,335,335,1647761,552,1399,03,31,کمنگنز
7,متر مکعب,مخلوط شن و ماسه کوهي,0,0,0,0,1399,03,31,کمنگنز
4,تن,سنگ منگنز دانه بندي,7500,6941,14244057,98868,1399,03,31,کمنگنز
7,متر مکعب,مخلوط شن و ماسه کوهي,0,0,0,0,1399,04,31,کمنگنز
4,تن,سنگ منگنز دانه بندي,8500,9315,15058722,140272,1399,04,31,کمنگنز
6,تن,محصولات بازرگاني(فرو سيليکو منگنز خريداري شده),50,50,220960000,11048,1399,04,31,کمنگنز
5,تن,خاک سرخ,0,0,0,0,1399,04,31,کمنگنز
11,متر مکعب,مخلوط شن و ماسه کوهي,0,0,0,0,1399,05,31,کمنگنز
10,تن,محصولات بازرگاني(فرو سيليکو منگنز خريداري شده),50,50,221000000,11050,1399,05,31,کمنگنز
8,تن,سنگ منگنز دانه بندي,8500,8565,15863281,135869,1399,05,31,کمنگنز
9,تن,خاک سرخ,424,424,1806604,766,1399,05,31,کمنگنز
19,متر مکعب,مخلوط شن و ماسه کوهي,0,0,0,0,1399,06,31,کمنگنز
18,تن,محصولات بازرگاني(فرو سيليکو منگنز خريداري شده),0,0,0,0,1399,06,31,کمنگنز
16,تن,سنگ منگنز دانه بندي,9800,10375,17261494,179088,1399,06,31,کمنگنز
17,تن,خاک سرخ,587,587,1798978,1056,1399,06,31,کمنگنز
19,متر مکعب,مخلوط شن و ماسه کوهي,0,0,0,0,1399,07,30,کمنگنز
18,تن,محصولات بازرگاني(فرو سيليکو منگنز خريداري شده),0,0,0,0,1399,07,30,کمنگنز
16,تن,سنگ منگنز دانه بندي,8500,8443,19005685,160465,1399,07,30,کمنگنز
17,تن,خاک سرخ,357,357,1873950,669,1399,07,30,کمنگنز
18,تن,محصولات بازرگاني(فرو سيليکو منگنز خريداري شده),0,0,0,0,1399,08,30,کمنگنز
19,متر مکعب,مخلوط شن و ماسه کوهي,0,0,0,0,1399,08,30,کمنگنز
17,تن,خاک سرخ,264,264,1897727,501,1399,08,30,کمنگنز
16,تن,سنگ منگنز دانه بندي,8400,7753,18987618,147211,1399,08,30,کمنگنز
7,متر مکعب,مخلوط شن و ماسه کوهي,0,0,0,0,1399,09,30,کمنگنز
6,تن,محصولات بازرگاني(فرو سيليکو منگنز خريداري شده),0,0,0,0,1399,09,30,کمنگنز
4,تن,سنگ منگنز دانه بندي,8300,8906,24290366,216330,1399,09,30,کمنگنز
5,تن,خاک سرخ,320,320,1881250,602,1399,09,30,کمنگنز
7,متر مکعب,مخلوط شن و ماسه کوهي,0,0,0,0,1399,10,30,کمنگنز
6,تن,محصولات بازرگاني(فرو سيليکو منگنز خريداري شده),0,0,0,0,1399,10,30,کمنگنز
4,تن,سنگ منگنز دانه بندي,9000,9023,23412723,211253,1399,10,30,کمنگنز
5,تن,خاک سرخ,171,171,2011696,344,1399,10,30,کمنگنز
7,متر مکعب,مخلوط شن و ماسه کوهي,0,0,0,0,1399,11,30,کمنگنز
6,تن,محصولات بازرگاني(فرو سيليکو منگنز خريداري شده),0,0,0,0,1399,11,30,کمنگنز
4,تن,سنگ منگنز دانه بندي,7300,6980,25104585,175230,1399,11,30,کمنگنز
5,تن,خاک سرخ,139,139,1762590,245,1399,11,30,کمنگنز
5,ميليون ريال,سود سرمايه گذاري ها (سود سهام عملياتي شرکت فرعي),0,0,0,149,1399,12,30,کمنگنز
4,تن,سنگ منگنز دانه بندي,4950,5387,21846297,117686,1399,12,30,کمنگنز
7,ميليون ريال,سود سرمايه گذاري ها (سود سهام عملياتي شرکت فرعي),0,0,0,0,1400,01,31,کمنگنز
6,متر مکعب,مخلوط شن و ماسه کوهي,0,0,0,0,1400,01,31,کمنگنز
4,تن,سنگ منگنز دانه بندي,6350,6354,24324677,154559,1400,01,31,کمنگنز
5,تن,خاک سرخ,0,0,0,0,1400,01,31,کمنگنز
5,تن,سنگ منگنز دانه بندي,7200,7363,28974874,213342,1400,02,31,کمنگنز
6,تن,محصولات بازرگاني(فرو سيليکو منگنز),0,0,0,0,1400,02,31,کمنگنز
4,تن,خاک سرخ,0,0,0,0,1400,02,31,کمنگنز
6,تن,محصولات بازرگاني(فرو سيليکو منگنز),0,0,0,0,1400,03,31,کمنگنز
5,تن,سنگ منگنز دانه بندي,7350,7696,27175286,209141,1400,03,31,کمنگنز
4,تن,خاک سرخ,0,0,0,0,1400,03,31,کمنگنز
6,تن,محصولات بازرگاني(فرو سيليکو منگنز),0,0,0,0,1400,04,31,کمنگنز
5,تن,سنگ منگنز دانه بندي,7300,8205,25716392,211003,1400,04,31,کمنگنز
4,تن,خاک سرخ,0,0,0,0,1400,04,31,کمنگنز
5,تن,سنگ منگنز دانه بندي,8450,8592,33497207,287808,1400,05,31,کمنگنز
5,تن,سنگ منگنز دانه بندي,8200,7716,32606532,251592,1400,06,31,کمنگنز
5,تن,سنگ منگنز دانه بندي,8600,8439,34398981,290293,1400,07,30,کمنگنز
6,تن,محصولات بازرگاني(فرو سيليکو منگنز),0,0,0,0,1400,08,30,کمنگنز
5,تن,سنگ منگنز دانه بندي,9200,8870,31696618,281149,1400,08,30,کمنگنز
6,تن,محصولات بازرگاني(فرو سيليکو منگنز),0,0,0,0,1400,09,30,کمنگنز
5,تن,سنگ منگنز دانه بندي,8800,9624,36962594,355728,1400,09,30,کمنگنز
5,تن,سنگ منگنز دانه بندي,8400,8614,44002322,379036,1400,10,30,کمنگنز
5,تن,سنگ منگنز دانه بندي,8200,7821,41008439,320727,1400,11,30,کمنگنز
4,تن,سنگ منگنز دانه بندي,7400,7269,43908516,319171,1400,12,29,کمنگنز
4,تن,سنگ منگنز دانه بندي,6600,6033,45784021,276215,1401,01,31,کمنگنز
4,تن,سنگ منگنز دانه بندي,7400,8559,42743428,365841,1401,02,31,کمنگنز
4,تن,سنگ منگنز دانه بندي,7400,8899,34316777,305385,1401,03,31,کمنگنز
4,تن,سنگ منگنز دانه بندي,8300,7005,30424126,213121,1401,04,31,کمنگنز
4,تن,سنگ منگنز دانه بندي,9100,6776,31707349,214849,1401,05,31,کمنگنز
4,تن,سنگ منگنز دانه بندي,8500,7595,23846346,181113,1401,06,31,کمنگنز
8,تن,سنگ منگنز دانه بندي,7800,6374,30335739,193360,1401,07,30,کمنگنز
8,تن,سنگ منگنز دانه بندي,8000,8985,35681024,320594,1401,08,30,کمنگنز
9,تن,محصولات بازرگاني(فرو سيليکو منگنز خريداري شده),0,50,473000000,23650,1401,08,30,کمنگنز
8,تن,سنگ منگنز دانه بندي,8000,6569,30072918,197549,1401,09,30,کمنگنز
8,تن,سنگ منگنز دانه بندي,7800,2555,23293151,59514,1401,10,30,کمنگنز
8,تن,سنگ منگنز دانه بندي,9200,4935,30634448,151181,1401,11,30,کمنگنز
8,تن,سنگ منگنز دانه بندي,7800,15018,47695099,716285,1401,12,29,کمنگنز
8,تن,سنگ منگنز دانه بندي,6300,8793,34514500,303486,1402,01,31,کمنگنز
8,تن,سنگ منگنز دانه بندي,7500,8136,36594518,297733,1402,02,31,کمنگنز
8,تن,سنگ منگنز دانه بندي,8500,10517,41290482,434252,1402,03,31,کمنگنز
8,تن,سنگ منگنز دانه بندي,8300,9271,39779096,368792,1402,04,31,کمنگنز
8,تن,سنگ منگنز دانه بندي,7700,7016,38576397,270652,1402,05,31,کمنگنز
16,تن,کنسانتره سنگ آهن صادراتي,0,0,0,0,1399,10,30,کگهر
15,تن,گندله,0,0,0,0,1399,10,30,کگهر
14,تن,سنگ آهن دانه بندي شده,427041,260503,7263302,1892112,1399,10,30,کگهر
13,تن,کنسانتره سنگ آهن,363330,114736,20000035,2294724,1399,10,30,کگهر
12,تن,کلوخه سنگ آهن,1491872,843567,7997461,6746394,1399,10,30,کگهر
6,تن,سنگ آهن دانه بندي شده,410991,250443,7263305,1819044,1399,11,30,کگهر
5,تن,کنسانتره سنگ آهن,365490,318281,20580779,6550471,1399,11,30,کگهر
4,تن,کلوخه سنگ آهن,1388558,1175046,8036987,9443830,1399,11,30,کگهر
7,تن,گندله,174633,0,0,0,1399,12,30,کگهر
6,تن,سنگ آهن دانه بندي شده,364197,52239,19901396,1039629,1399,12,30,کگهر
5,تن,کنسانتره سنگ آهن,398918,367686,24934972,9168240,1399,12,30,کگهر
4,تن,کلوخه سنگ آهن,1261036,753012,9882080,7441325,1399,12,30,کگهر
5,تن,کنسانتره سنگ آهن,431070,62487,22234241,1389351,1400,01,31,کگهر
6,تن,سنگ آهن دانه بندي شده,840502,99473,10079720,1002660,1400,01,31,کگهر
7,تن,گندله,247823,45412,35327072,1604273,1400,01,31,کگهر
4,تن,کلوخه سنگ آهن,1398000,680300,9978918,6788658,1400,01,31,کگهر
7,تن,گندله,304942,208625,38774806,8089394,1400,02,31,کگهر
6,تن,سنگ آهن دانه بندي شده,693651,102895,10079722,1037153,1400,02,31,کگهر
5,تن,کنسانتره سنگ آهن,447593,55852,27956474,1561425,1400,02,31,کگهر
4,تن,کلوخه سنگ آهن,1207330,838694,9879750,8286087,1400,02,31,کگهر
7,تن,گندله,296910,137075,46233150,6337409,1400,03,31,کگهر
6,تن,سنگ آهن دانه بندي شده,968241,58225,20874453,1215415,1400,03,31,کگهر
5,تن,کنسانتره سنگ آهن,414150,80263,25900602,2078860,1400,03,31,کگهر
4,تن,کلوخه سنگ آهن,1282156,822418,13973639,11492172,1400,03,31,کگهر
7,تن,گندله,307224,99379,41521076,4126323,1400,04,31,کگهر
6,تن,سنگ آهن دانه بندي شده,246409,38567,13130267,506395,1400,04,31,کگهر
5,تن,کنسانتره سنگ آهن,205968,93172,26251202,2445877,1400,04,31,کگهر
4,تن,کلوخه سنگ آهن,1252934,573995,12156142,6977565,1400,04,31,کگهر
7,تن,گندله,324812,0,0,0,1400,05,31,کگهر
6,تن,سنگ آهن دانه بندي شده,583797,112126,13259057,1486685,1400,05,31,کگهر
5,تن,کنسانتره سنگ آهن,428287,109333,28140406,3076675,1400,05,31,کگهر
4,تن,کلوخه سنگ آهن,1065891,450661,13091042,5899622,1400,05,31,کگهر
7,تن,کنسانتره سنگ آهن,417470,72353,30344298,2195501,1400,06,31,کگهر
4,تن,کلوخه سنگ آهن,1245185,510931,13272761,6781465,1400,06,31,کگهر
6,تن,سنگ آهن دانه بندي شده,816286,187800,12085234,2269607,1400,06,31,کگهر
5,تن,گندله,350516,7195,46225712,332594,1400,06,31,کگهر
7,تن,کنسانتره سنگ آهن,395700,136770,33208686,4541952,1400,07,30,کگهر
6,تن,سنگ آهن دانه بندي شده,746434,296034,10885699,3222537,1400,07,30,کگهر
5,تن,گندله,355790,255827,41339550,10575773,1400,07,30,کگهر
4,تن,کلوخه سنگ آهن,1577215,658799,12398985,8168439,1400,07,30,کگهر
7,تن,کنسانتره سنگ آهن,402083,210759,34687961,7310800,1400,08,30,کگهر
6,تن,سنگ آهن دانه بندي شده,710477,256435,13363839,3426956,1400,08,30,کگهر
5,تن,گندله,173622,278403,42165278,11738940,1400,08,30,کگهر
4,تن,کلوخه سنگ آهن,1639552,766896,10911264,8367805,1400,08,30,کگهر
6,تن,سنگ آهن دانه بندي شده,940925,244449,11365999,2778407,1400,09,30,کگهر
4,تن,کلوخه سنگ آهن,1632987,934121,10323866,9643740,1400,09,30,کگهر
7,تن,کنسانتره سنگ آهن,238256,154595,33382943,5160836,1400,09,30,کگهر
5,تن,گندله,283256,218099,40146461,8755903,1400,09,30,کگهر
7,تن,گندله,324837,140240,40131931,5628102,1400,10,30,کگهر
6,تن,سنگ آهن دانه بندي شده,823997,92559,12785888,1183449,1400,10,30,کگهر
5,تن,کنسانتره سنگ آهن,507597,49610,31442108,1559843,1400,10,30,کگهر
4,تن,کلوخه سنگ آهن,1140936,691942,11475268,7940220,1400,10,30,کگهر
9,تن,گندله بورس کالا,0,20441,36114036,738207,1400,11,30,کگهر
8,تن,کنسانتره بورس کالا,0,116202,31540825,3665107,1400,11,30,کگهر
7,تن,گندله,318276,0,0,0,1400,11,30,کگهر
6,تن,سنگ آهن دانه بندي شده,800919,195631,12500166,2445420,1400,11,30,کگهر
4,تن,کلوخه سنگ آهن,1631912,726634,12342724,8968643,1400,11,30,کگهر
5,تن,کنسانتره سنگ آهن,462336,121651,30065458,3657493,1400,11,30,کگهر
9,تن,گندله بورس کالا,0,350054,36050938,12619775,1400,12,29,کگهر
8,تن,کنسانتره بورس کالا,0,138421,33095527,4581116,1400,12,29,کگهر
7,تن,گندله,324612,23544,38226555,900006,1400,12,29,کگهر
6,تن,سنگ آهن دانه بندي شده,300240,108311,12316081,1333967,1400,12,29,کگهر
5,تن,کنسانتره سنگ آهن,528243,55376,27596197,1528167,1400,12,29,کگهر
4,تن,کلوخه سنگ آهن,1405679,732703,12068086,8842323,1400,12,29,کگهر
9,تن,گندله بورس کالا,0,213235,40075307,8545458,1401,01,31,کگهر
8,تن,کنسانتره بورس کالا,0,32056,36174195,1159600,1401,01,31,کگهر
7,تن,گندله,420284,55285,41465280,2292408,1401,01,31,کگهر
6,تن,سنگ آهن دانه بندي شده,973239,41965,13513499,567094,1401,01,31,کگهر
5,تن,کنسانتره سنگ آهن,560399,101727,30121856,3064206,1401,01,31,کگهر
4,تن,کلوخه سنگ آهن,1217345,562534,12977096,7300058,1401,01,31,کگهر
6,تن,سنگ آهن دانه بندي شده,953316,45054,13506992,608544,1401,02,31,کگهر
7,تن,کنسانتره بورس کالا,0,0,0,0,1401,02,31,کگهر
4,تن,کلوخه سنگ آهن,1456971,747215,12066871,9016547,1401,02,31,کگهر
5,تن,کنسانتره سنگ آهن,606877,103315,30361932,3136843,1401,02,31,کگهر
8,تن,گندله,454631,78353,40470397,3170977,1401,02,31,کگهر
9,تن,گندله بورس کالا,0,16234,36114759,586287,1401,02,31,کگهر
9,تن,گندله بورس کالا,0,54966,35950806,1976072,1401,03,31,کگهر
8,تن,گندله,229135,11562,42614773,492712,1401,03,31,کگهر
4,تن,کلوخه سنگ آهن,1334448,884442,12389468,10957766,1401,03,31,کگهر
5,تن,کنسانتره سنگ آهن,436823,65489,29822917,1953073,1401,03,31,کگهر
6,تن,سنگ آهن دانه بندي شده,900455,186763,14073103,2628335,1401,03,31,کگهر
7,تن,کنسانتره بورس کالا,0,84233,33133807,2790960,1401,03,31,کگهر
5,تن,کنسانتره سنگ آهن,452349,55812,33230524,1854662,1401,04,31,کگهر
9,تن,گندله بورس کالا,0,169765,32481648,5514247,1401,04,31,کگهر
6,تن,سنگ آهن دانه بندي شده,840421,99281,14171856,1406996,1401,04,31,کگهر
8,تن,گندله,0,123080,42724244,5258500,1401,04,31,کگهر
7,تن,کنسانتره بورس کالا,0,109660,28394374,3113727,1401,04,31,کگهر
4,تن,کلوخه سنگ آهن,1145867,361728,11201773,4051995,1401,04,31,کگهر
8,تن,گندله,0,131823,38590853,5087162,1401,05,31,کگهر
7,تن,کنسانتره بورس کالا,0,133757,27228975,3642066,1401,05,31,کگهر
9,تن,گندله بورس کالا,0,311797,28973236,9033768,1401,05,31,کگهر
4,تن,کلوخه سنگ آهن,925527,0,0,0,1401,05,31,کگهر
5,تن,کنسانتره سنگ آهن,575919,30674,29388309,901457,1401,05,31,کگهر
6,تن,سنگ آهن دانه بندي شده,744305,4358,12812529,55837,1401,05,31,کگهر
9,تن,گندله بورس کالا,0,916059,33692930,30864712,1401,06,31,کگهر
8,تن,گندله,198757,81176,36214854,2939777,1401,06,31,کگهر
7,تن,کنسانتره بورس کالا,0,436042,25167585,10974124,1401,06,31,کگهر
6,تن,سنگ آهن دانه بندي شده,740651,0,0,0,1401,06,31,کگهر
5,تن,کنسانتره سنگ آهن,513883,16433,26278099,431828,1401,06,31,کگهر
